"gsis_id";"year";"home_team";"away_team";"home_score";"away_score";"home_score_q1";"home_score_q2";"home_score_q3";"home_score_q4";"away_score_q1";"away_score_q2";"away_score_q3";"away_score_q4"
"2009091000";2009;"PIT";"TEN";13;10;0;7;0;3;0;7;0;3
"2009091300";2009;"ATL";"MIA";19;7;0;10;6;3;0;0;0;7
"2009091301";2009;"BAL";"KC";38;24;10;0;7;21;0;7;7;10
"2009091302";2009;"CAR";"PHI";10;38;7;3;0;0;3;28;7;0
"2009091303";2009;"CIN";"DEN";7;12;0;0;0;7;0;3;3;6
"2009091304";2009;"CLE";"MIN";20;34;3;10;0;7;3;7;14;10
"2009091305";2009;"HOU";"NYJ";7;24;0;0;0;7;3;7;7;7
"2009091306";2009;"IND";"JAX";14;12;0;7;7;0;0;6;0;6
"2009091307";2009;"NO";"DET";45;27;14;14;10;7;3;7;17;0
"2009091308";2009;"TB";"DAL";21;34;0;7;0;14;6;7;7;14
"2009091309";2009;"ARI";"SF";16;20;0;6;7;3;6;7;0;7
"2009091310";2009;"NYG";"WAS";23;17;3;14;0;6;0;7;3;7
"2009091311";2009;"SEA";"STL";28;0;0;14;14;0;0;0;0;0
"2009091312";2009;"GB";"CHI";21;15;0;10;0;11;0;2;10;3
"2009091400";2009;"NE";"BUF";25;24;0;10;0;15;7;7;3;7
"2009091401";2009;"OAK";"SD";20;24;7;3;0;10;0;10;0;14
"2009092000";2009;"ATL";"CAR";28;20;7;14;0;7;3;10;0;7
"2009092001";2009;"DET";"MIN";13;27;3;7;0;3;0;7;10;10
"2009092002";2009;"GB";"CIN";24;31;14;7;0;3;7;14;7;3
"2009092003";2009;"JAX";"ARI";17;31;3;0;7;7;10;14;7;0
"2009092004";2009;"KC";"OAK";10;13;3;0;0;7;0;3;3;7
"2009092005";2009;"NYJ";"NE";16;9;0;3;10;3;3;6;0;0
"2009092006";2009;"PHI";"NO";22;48;7;6;7;2;10;7;17;14
"2009092007";2009;"TEN";"HOU";31;34;14;10;7;0;7;17;7;3
"2009092008";2009;"WAS";"STL";9;7;3;3;3;0;0;7;0;0
"2009092009";2009;"BUF";"TB";33;20;17;3;0;13;0;14;0;6
"2009092010";2009;"SF";"SEA";23;10;10;3;7;3;0;10;0;0
"2009092011";2009;"CHI";"PIT";17;14;0;7;0;10;7;0;7;0
"2009092012";2009;"DEN";"CLE";27;6;7;3;3;14;6;0;0;0
"2009092013";2009;"SD";"BAL";26;31;10;6;7;3;7;14;7;3
"2009092014";2009;"DAL";"NYG";31;33;7;10;7;7;10;10;0;13
"2009092100";2009;"MIA";"IND";23;27;7;6;0;10;7;6;0;14
"2009092700";2009;"BAL";"CLE";34;3;10;10;7;7;0;0;0;3
"2009092702";2009;"DET";"WAS";19;14;7;6;0;6;0;0;7;7
"2009092703";2009;"HOU";"JAX";24;31;7;14;3;0;3;14;7;7
"2009092704";2009;"MIN";"SF";27;24;7;6;7;7;0;14;3;7
"2009092705";2009;"NE";"ATL";26;10;3;10;3;10;3;7;0;0
"2009092706";2009;"PHI";"KC";34;14;14;10;3;7;0;7;0;7
"2009092707";2009;"STL";"GB";17;36;0;14;3;0;9;14;0;13
"2009092708";2009;"TB";"NYG";0;24;0;0;0;0;7;7;3;7
"2009092711";2009;"NYJ";"TEN";24;17;14;0;7;3;0;10;7;0
"2009092709";2009;"BUF";"NO";7;27;0;7;0;0;7;3;0;17
"2009092710";2009;"SEA";"CHI";19;25;10;3;0;6;0;7;10;8
"2009092701";2009;"CIN";"PIT";23;20;0;3;6;14;10;3;7;0
"2009092712";2009;"OAK";"DEN";3;23;0;3;0;0;10;3;7;3
"2009092713";2009;"SD";"MIA";23;13;0;3;7;13;0;3;3;7
"2009092714";2009;"ARI";"IND";10;31;3;0;7;0;0;21;7;3
"2009092800";2009;"DAL";"CAR";21;7;0;0;10;11;0;7;0;0
"2009100400";2009;"CHI";"DET";48;24;7;14;13;14;14;7;0;3
"2009100401";2009;"CLE";"CIN";20;23;0;7;7;6;7;7;0;6
"2009100402";2009;"HOU";"OAK";29;6;3;17;9;0;3;3;0;0
"2009100403";2009;"IND";"SEA";34;17;7;14;7;6;0;3;0;14
"2009100404";2009;"JAX";"TEN";37;17;10;17;3;7;0;3;6;8
"2009100405";2009;"KC";"NYG";16;27;3;0;0;13;7;10;3;7
"2009100406";2009;"NE";"BAL";27;21;3;14;7;3;7;0;7;7
"2009100407";2009;"WAS";"TB";16;13;0;0;16;0;7;3;0;3
"2009100408";2009;"MIA";"BUF";38;10;0;17;14;7;0;3;0;7
"2009100409";2009;"NO";"NYJ";24;10;3;14;0;7;0;3;7;0
"2009100410";2009;"DEN";"DAL";17;10;0;7;0;10;10;0;0;0
"2009100411";2009;"SF";"STL";35;0;0;7;14;14;0;0;0;0
"2009100412";2009;"PIT";"SD";38;28;14;7;7;10;0;0;7;21
"2009100500";2009;"MIN";"GB";30;23;7;14;7;2;7;7;0;9
"2009101100";2009;"BAL";"CIN";14;17;0;7;0;7;0;3;7;7
"2009101101";2009;"BUF";"CLE";3;6;0;0;3;0;0;3;0;3
"2009101102";2009;"CAR";"WAS";20;17;0;2;7;11;7;3;7;0
"2009101103";2009;"DET";"PIT";20;28;6;7;0;7;7;14;7;0
"2009101104";2009;"KC";"DAL";20;26;0;10;3;7;0;3;7;10
"2009101105";2009;"NYG";"OAK";44;7;14;17;10;3;0;7;0;0
"2009101106";2009;"PHI";"TB";33;14;7;14;7;5;0;7;0;7
"2009101107";2009;"STL";"MIN";10;38;0;3;0;7;14;3;7;14
"2009101108";2009;"SF";"ATL";10;45;7;3;0;0;14;21;3;7
"2009101109";2009;"ARI";"HOU";28;21;7;14;0;7;0;0;7;14
"2009101110";2009;"DEN";"NE";20;17;0;7;3;7;10;7;0;0
"2009101111";2009;"SEA";"JAX";41;0;3;17;14;7;0;0;0;0
"2009101112";2009;"TEN";"IND";9;31;6;3;0;0;7;14;7;3
"2009101200";2009;"MIA";"NYJ";31;27;10;0;0;21;7;6;0;14
"2009101800";2009;"CIN";"HOU";17;28;0;17;0;0;7;7;14;0
"2009101801";2009;"GB";"DET";26;0;14;9;3;0;0;0;0;0
"2009101802";2009;"JAX";"STL";23;20;6;0;0;14;7;3;0;10
"2009101803";2009;"MIN";"BAL";33;31;14;0;6;13;0;3;7;21
"2009101804";2009;"NO";"NYG";48;27;14;20;7;7;3;14;0;10
"2009101805";2009;"PIT";"CLE";27;14;0;17;7;3;0;7;7;0
"2009101806";2009;"TB";"CAR";21;28;7;0;7;7;0;7;14;7
"2009101807";2009;"WAS";"KC";6;14;0;0;6;0;0;3;3;8
"2009101808";2009;"OAK";"PHI";13;9;7;3;0;3;3;3;0;3
"2009101809";2009;"SEA";"ARI";3;27;0;3;0;0;14;3;7;3
"2009101810";2009;"NE";"TEN";59;0;10;35;14;0;0;0;0;0
"2009101811";2009;"NYJ";"BUF";13;16;3;10;0;0;3;0;10;0
"2009101812";2009;"ATL";"CHI";21;14;0;14;0;7;0;7;0;7
"2009101900";2009;"SD";"DEN";23;34;10;10;3;0;7;10;7;10
"2009102501";2009;"CLE";"GB";3;31;0;3;0;0;0;21;3;7
"2009102502";2009;"HOU";"SF";24;21;7;14;0;3;0;0;7;14
"2009102503";2009;"KC";"SD";7;37;0;0;7;0;14;6;7;10
"2009102504";2009;"PIT";"MIN";27;17;3;7;3;14;0;7;3;7
"2009102505";2009;"STL";"IND";6;42;3;0;3;0;14;7;7;14
"2009102506";2009;"TB";"NE";7;35;0;7;0;0;14;7;7;7
"2009102507";2009;"CAR";"BUF";9;20;0;2;0;7;7;0;0;13
"2009102508";2009;"OAK";"NYJ";0;38;0;0;0;0;14;10;7;7
"2009102500";2009;"CIN";"CHI";45;10;14;17;7;7;0;3;0;7
"2009102509";2009;"DAL";"ATL";37;21;0;17;7;13;7;0;7;7
"2009102510";2009;"MIA";"NO";34;46;14;10;10;0;3;7;14;22
