season_year,team_code,points,total_yards,pass_att,pass_yds,pass_td,rush_att,rush_yds,rush_td
2019,ARI,361,5467,554,3477,20,396,1990,18
2019,ATL,381,6075,684,4714,29,362,1361,10
2019,BAL,531,6521,440,3225,37,596,3296,21
2019,BUF,314,5283,513,3229,21,465,2054,13
2019,CAR,340,5469,633,3650,17,386,1819,20
2019,CHI,280,4749,580,3291,20,395,1458,8
2019,CIN,279,5169,616,3652,18,385,1517,9
2019,CLE,335,5455,539,3554,22,393,1901,15
2019,DAL,434,6904,597,4751,30,449,2153,18
2019,DEN,282,4777,504,3115,16,409,1662,11
2019,DET,341,5549,571,3900,28,407,1649,7
2019,GB,376,5528,573,3733,26,411,1795,18
2019,HOU,378,5792,534,3783,27,434,2009,17
2019,IND,361,5238,513,3108,22,471,2130,17
2019,JAX,300,5468,589,3760,24,389,1708,3
2019,KC,451,6067,576,4498,30,375,1569,16
2019,LAC,337,5879,597,4426,24,366,1453,12
2019,LAR,394,5998,632,4499,22,401,1499,20
2019,MIA,306,4960,615,3804,22,349,1156,10
2019,MIN,407,5656,466,3523,26,476,2133,19
2019,NE,420,5664,620,3961,25,447,1703,17
2019,NO,458,5982,581,4244,36,405,1738,12
2019,NYG,341,5416,607,3731,30,362,1685,11
2019,NYJ,276,4368,521,3111,19,383,1257,6
2019,OAK,313,5819,523,3926,22,437,1893,13
2019,PHI,385,5772,613,3833,27,454,1939,16
2019,PIT,289,4428,510,2981,18,395,1447,7
2019,SEA,405,5991,517,3791,31,481,2200,15
2019,SF,479,6097,478,3792,28,498,2305,23
2019,TB,458,6366,630,4845,33,409,1521,15
2019,TEN,402,5805,448,3582,29,445,2223,21
2019,WAS,266,4395,479,2812,18,356,1583,9
